2021-12-06 18:48:10,2821178882,6) Growth Product Owner,One,True,True
2021-12-06 18:48:24,2818621191,6) Junior Product Owner,The Juice Plus+® Company Europe GmbH,False,False
2021-12-06 18:48:58,2814766217,6) Product Owner,Donyati,True,True
2021-12-06 18:49:26,2829041674,6) Technical Product Owner - Finance,Applicantz,True,False
2021-12-06 18:49:54,2821142926,6) Product Owner,Aquent,True,False
2021-12-06 18:50:22,2820917787,6) Product Owner,Accion Labs,True,False
2021-12-06 18:50:56,2824295071,6) Technical Product Owner,BigRio,True,True
2021-12-06 18:51:27,2815485601,"6) Energy Storage Fleet, Product Owner",SunPower Corporation,True,True
2021-12-06 18:51:41,2822653345,6) Product Owner,The Judge Group,False,False
2021-12-06 18:51:54,2815361706,6) Product Owner,ChannelApe,False,False
2021-12-06 18:52:08,2818853942,6) Product Owner,Cadmium,False,False
2021-12-06 18:52:22,2818886070,6) Product Owner,Accion Labs,False,False
2021-12-06 18:52:35,2824238138,6) Product Owner@Remote,DRS IT Solutions Inc,False,False
2021-12-06 18:52:48,2824579262,6) Product Owner,UFG Insurance,False,False
2021-12-06 18:53:02,2818971455,6) Product Owner,"DIVERSANT, LLC",False,False
2021-12-06 18:53:16,2807414341,6) Business Systems Product Owner,DoorDash,False,False
2021-12-06 18:53:29,2823255495,6) Product Owner (CTH),ThreeBridge Solutions (merging with Turnberry Solutions),False,False
2021-12-06 18:53:43,2821068371,6) Product Owner,The Select Group,False,False
2021-12-06 18:53:57,2826428887,6) Product Owner,VySystems,False,False
2021-12-06 18:54:11,2825033695,6) Product Owner,MATRIX Resources,False,False
2021-12-06 18:54:24,2825068907,6) Product Owner,Meridian Technologies,False,False
2021-12-06 18:54:37,2821144814,6) Product Owner,Modis,False,False
2021-12-06 18:54:50,2822652527,6) Product Owner,Trimble Inc.,False,False
2021-12-06 18:55:04,2816575478,6) Product Owner - Medical Management,"Staff Smart, Inc.",False,False
2021-12-06 18:55:17,2608806905,6) Healthcare Product Owner,Perficient,False,False
2021-12-06 18:56:25,2801349539,6) Product Owner,"NewAgeSys, Inc",False,False
2021-12-06 18:56:39,2811874572,6) Product Owner,Advanced Medical Pricing Solutions (AMPS),False,False
